Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Ofensas nas redes sociais: consequências jurídicas e como se proteger,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda o que constitui ofensa nas redes, quais leis se aplicam e quais medidas você pode tomar para se defender ou evitar problemas.",https://lisomarbarbosa.adv.br/artigos/ofensas-nas-redes-sociais-consequencias-juridicas-e-como-se-proteger,2026-09-05,
Monitoramento de Empregados e LGPD: Limites Jurídicos e Privacidade no Trabalho,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,Entenda os limites do monitoramento de funcionários à luz da LGPD e da CLT. Saiba como proteger a privacidade dos trabalhadores e evitar graves passivos trabalhistas.,https://lisomarbarbosa.adv.br/artigos/monitoramento-de-empregados-e-lgpd-limites-juridicos-e-privacidade-no-trabalho,2026-09-05,
Ataques virtuais e responsabilidade civil por danos causados: guia prático,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,Entenda como a legislação brasileira trata a responsabilidade civil decorrente de ataques cibernéticos e quais medidas proteger seus direitos.,https://lisomarbarbosa.adv.br/artigos/ataques-virtuais-e-responsabilidade-civil-por-danos-causados-guia-pratico,2026-09-03,
Stalking virtual: consequências jurídicas e como se proteger,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda o que configura stalking virtual, as penas previstas no Código Penal e na LGPD, e saiba quais medidas práticas adotar para denunciar e se proteger.",https://lisomarbarbosa.adv.br/artigos/stalking-virtual-consequencias-juridicas-e-como-se-proteger,2026-09-03,
Direito de Arrependimento no E-commerce: Regras e Práticas,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda como o CDC garante o arrependimento em compras online, prazos, devoluções e obrigações das lojas virtuais.",https://lisomarbarbosa.adv.br/artigos/direito-de-arrependimento-no-e-commerce-regras-e-praticas,2026-09-02,
Uso indevido de imagem na internet: responsabilidade civil e proteção de direitos,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda como a lei brasileira protege sua imagem online, quais danos podem ser reparados e como agir diante de uso não autorizado.",https://lisomarbarbosa.adv.br/artigos/uso-indevido-de-imagem-na-internet-responsabilidade-civil-e-protecao-de-direitos,2026-09-02,
NFTs e Propriedade Intelectual: O que você realmente possui no mundo digital?,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,Entenda a relação entre NFTs e direitos autorais. Aprenda a distinguir a posse de um token da propriedade da obra digital e como proteger seus direitos no ambiente Web3.,https://lisomarbarbosa.adv.br/artigos/nfts-e-propriedade-intelectual-o-que-voce-realmente-possui-no-mundo-digital,2026-09-01,
Cyberbullying e Consequências Jurídicas no Brasil: Direitos e Responsabilidades,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Descubra os aspectos jurídicos do cyberbullying no Brasil, as novidades da Lei 14.811/2024, a reparação por danos morais e como agir em casos de ataques virtuais.",https://lisomarbarbosa.adv.br/artigos/cyberbullying-e-consequencias-juridicas-no-brasil-direitos-e-responsabilidades,2026-09-01,
Responsabilidade dos Provedores de Internet no Brasil: Guia Jurídico,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda como funciona a responsabilidade civil dos provedores de internet no Brasil, as regras do Marco Civil da Internet, da LGPD e os direitos dos usuários nas redes.",https://lisomarbarbosa.adv.br/artigos/responsabilidade-dos-provedores-de-internet-no-brasil-guia-juridico,2026-08-31,
Marco Civil da Internet e seus Reflexos Práticos na Proteção de Direitos Digitais no Brasil,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda os princípios do Marco Civil da Internet (Lei 12.965/14), neutralidade da rede, guarda de registros e como a legislação protege seus direitos no ambiente digital.",https://lisomarbarbosa.adv.br/artigos/marco-civil-da-internet-e-seus-reflexos-praticos-na-protecao-de-direitos-digitais-no-brasil,2026-08-31,
Stalking Virtual: Consequências Jurídicas e Como se Proteger da Perseguição Online,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda o enquadramento penal do stalking virtual, as sanções cíveis, a produção de provas válidas e as medidas de proteção cabíveis contra perseguidores virtuais.",https://lisomarbarbosa.adv.br/artigos/stalking-virtual-consequencias-juridicas-e-como-se-proteger-da-perseguicao-online,2026-08-30,
"Estelionato Eletrônico e Direito Penal: Direitos, Penas e Como Agir em Casos de Fraudes Virtuais",https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda as regras do estelionato eletrônico no Direito Penal brasileiro, as penas da Lei 14.155/2021 e os passos para reaver prejuízos e buscar justiça.",https://lisomarbarbosa.adv.br/artigos/estelionato-eletronico-e-direito-penal-direitos-penas-e-como-agir-em-casos-de-fraudes-virtuais,2026-08-30,
Fraudes bancárias digitais e responsabilidade civil: direitos do consumidor,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,Entenda como a legislação brasileira protege vítimas de golpes online e quais medidas adotar para buscar reparação.,https://lisomarbarbosa.adv.br/artigos/fraudes-bancarias-digitais-e-responsabilidade-civil-direitos-do-consumidor,2026-08-29,
Invasão de Dispositivo Informático: Consequências Jurídicas e Como se Proteger,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda as penalidades previstas no Código Penal, LGPD e Marco Civil para invasão de dispositivos, seus direitos e medidas práticas de defesa.",https://lisomarbarbosa.adv.br/artigos/invasao-de-dispositivo-informatico-consequencias-juridicas-e-como-se-proteger,2026-08-29,
Fraudes Eletrônicas e suas Consequências no Direito Penal Brasileiro,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda como o Direito Penal pune golpes virtuais, estelionato digital e invasão de dispositivos, além de saber como agir e se proteger perante a lei.",https://lisomarbarbosa.adv.br/artigos/fraudes-eletronicas-e-suas-consequencias-no-direito-penal-brasileiro,2026-08-29,
Crimes Digitais e os Limites da Responsabilização Penal,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda a legislação brasileira sobre crimes virtuais, a prova digital e as fronteiras da punição penal na internet segundo o Código Penal e jurisprudência.",https://lisomarbarbosa.adv.br/artigos/crimes-digitais-e-os-limites-da-responsabilizacao-penal,2026-08-29,
Inteligência Artificial e Responsabilidade Civil: Quem Paga Paga Pelo Dano?,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,Entenda como a legislação brasileira trata os danos causados por inteligência artificial e conheça os seus direitos perante erros e falhas em algoritmos.,https://lisomarbarbosa.adv.br/artigos/inteligencia-artificial-e-responsabilidade-civil-quem-paga-paga-pelo-dano,2026-08-29,
Golpes Digitais e Responsabilidade Jurídica das Plataformas: Guia de Direitos,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda quando redes sociais, bancos e plataformas digitais respondem juridicamente por golpes virtuais e saiba como reaver seus prejuízos financeiros.",https://lisomarbarbosa.adv.br/artigos/golpes-digitais-e-responsabilidade-juridica-das-plataformas-guia-de-direitos,2026-08-28,
Criptomoedas e regulamentação jurídica no Brasil: guia completo,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda o marco legal das criptomoedas, obrigações de exchanges, proteção ao consumidor e riscos de lavagem de dinheiro no Brasil.",https://lisomarbarbosa.adv.br/artigos/criptomoedas-e-regulamentacao-juridica-no-brasil-guia-completo,2026-08-27,
Direito Digital e Responsabilidade Civil nas Relações Online: Guia Prático,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda a responsabilidade civil no ambiente virtual, como reparar danos morais e materiais na internet e o que dizem o Marco Civil, a LGPD e o CDC.",https://lisomarbarbosa.adv.br/artigos/direito-digital-e-responsabilidade-civil-nas-relacoes-online-guia-pratico,2026-08-26,
Direito ao Esquecimento: Limites da Remoção de Conteúdo Digital,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda o direito ao esquecimento na LGPD e no Marco Civil, limites legais, jurisprudência e como solicitar remoção de dados ou conteúdos online com segurança jurídica.",https://lisomarbarbosa.adv.br/artigos/direito-ao-esquecimento-limites-da-remocao-de-conteudo-digital,2026-08-25,
Difamação nas redes sociais e responsabilidade jurídica,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda como a difamação digital gera responsabilidade civil e penal, direitos de resposta e proteção de dados pessoais.",https://lisomarbarbosa.adv.br/artigos/difamacao-nas-redes-sociais-e-responsabilidade-juridica,2026-08-25,
Stalking Virtual: O que é e quais as consequências jurídicas no Brasil,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda o que é stalking virtual, como se proteger e quais as ações legais previstas no Brasil, incluindo LGPD, Marco Civil e Lei 13.869/2019.",https://lisomarbarbosa.adv.br/artigos/stalking-virtual-o-que-e-e-quais-as-consequencias-juridicas-no-brasil,2026-08-24,
"Contratos digitais: validade jurídica, assinaturas e o que você precisa saber antes de clicar em ""concordo""",https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Da assinatura eletrônica simples ao certificado digital ICP-Brasil, entenda como a lei brasileira trata os acordos firmados no ambiente online, quais são os seus direitos como consumidor e como se proteger em negociações virtuais.",https://lisomarbarbosa.adv.br/artigos/contratos-digitais-validade-juridica-assinaturas-direitos,2026-08-23,
Ofensas nas redes sociais: quando a tela não protege — entenda seus direitos e como agir,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Um comentário cruel, um print fora de contexto, uma fake news compartilhada em segundos. O ambiente digital potencializa danos à honra e à imagem, mas a lei não ficou para trás. Saiba o que configura crime, como funciona a reparação civil e quais passos dar para se proteger.",https://lisomarbarbosa.adv.br/artigos/ofensas-redes-sociais-consequencias-juridicas,2026-08-23,
Seus direitos nas compras online: o que a lei garante quando o produto não chega ou chega diferente do combinado,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Comprar pela internet virou rotina, mas poucos sabem exatamente o que a lei protege quando algo dá errado. Este artigo explica, em linguagem clara, os principais direitos do consumidor digital e como agir diante de problemas reais.",https://lisomarbarbosa.adv.br/artigos/direito-do-consumidor-compras-online,2026-08-23,
Direito ao anonimato na internet: onde termina a liberdade e começa a responsabilidade,https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Entenda como a Constituição, o Marco Civil da Internet e a LGPD equilibram privacidade, liberdade de expressão e responsabilização por abusos no ambiente digital.",https://lisomarbarbosa.adv.br/artigos/direito-anonimato-internet-limites,2026-08-23,
"Contratos de software e licenças de uso: o que você precisa saber antes de clicar em ""concordo""",https://lisomarbarbosa.adv.br/og-image.png,Direito Digital,,"Saiba como funcionam licenças de uso, contratos de SaaS, desenvolvimento por encomenda, portabilidade de dados e cláusulas contratuais que merecem atenção.",https://lisomarbarbosa.adv.br/artigos/contratos-software-licencas-uso-direitos-deveres,2026-08-23,
